zone id, lat, lon, is land (L) or contains some land (l)
0000444,58.08,1.52,
0000445,58.63,1.82,
0000446,57.64,2.14,
0000464,56.66,2.53,
0000465,57.2,2.76,
0000466,56.24,3.24,
0004000,60.06,-6.0,
0004001,60.63,-5.74,
0004002,59.66,-5.31,
0004003,60.22,-5.06,
0004004,59.89,-6.93,
0004005,60.46,-6.69,
0004006,59.49,-6.23,
0004012,60.94,-3.8,
0004013,61.5,-3.46,
0004016,60.79,-4.77,
0004020,58.68,-4.87,l
0004021,59.25,-4.64,
0004022,58.27,-4.2,L
0004023,58.84,-3.98,l
0004024,58.52,-5.76,l
0004025,59.09,-5.55,
0004026,58.12,-5.08,L
0004030,59.96,-3.45,
0004031,60.52,-3.14,
0004032,59.55,-2.8,l
0004033,60.11,-2.5,
0004034,59.81,-4.39,
0004035,60.38,-4.11,
0004036,59.4,-3.72,
0004040,60.11,-8.56,
0004042,59.72,-7.84,
0004043,60.29,-7.63,
0004044,59.92,-9.48,
0004046,59.54,-8.75,
0004060,58.75,-7.34,
0004061,59.32,-7.14,
0004062,58.36,-6.64,l
0004063,58.92,-6.45,
0004064,58.58,-8.22,
0004065,59.15,-8.04,
0004066,58.18,-7.51,l
0004120,62.61,-2.7,
0004122,62.19,-2.05,
0004123,62.74,-1.62,
0004126,62.05,-3.1,
0004130,63.81,-0.65,
0004132,63.39,-0.02,
0004136,63.28,-1.15,
0004200,57.16,-1.36,
0004201,57.72,-1.14,
0004202,56.74,-0.71,
0004203,57.29,-0.49,
0004204,57.03,-2.22,L
0004205,57.58,-2.01,l
0004206,56.61,-1.56,
0004210,58.4,0.01,
0004211,58.96,0.31,
0004212,57.97,0.63,
0004213,58.52,0.91,
0004214,58.27,-0.89,
0004215,58.83,-0.61,
0004216,57.85,-0.26,
0004220,55.78,-0.23,
0004221,56.32,-0.05,
0004222,55.38,0.5,
0004223,55.9,0.63,
0004224,55.65,-1.06,
0004225,56.19,-0.9,
0004226,55.25,-0.34,
0004230,56.98,1.02,
0004231,57.53,1.26,
0004232,56.55,1.67,
0004233,57.1,1.89,
0004234,56.86,0.15,
0004235,57.41,0.38,
0004236,56.44,0.81,
0004240,57.3,-3.74,L
0004241,57.86,-3.54,l
0004242,56.89,-3.07,L
0004243,57.45,-2.88,L
0004244,57.15,-4.6,L
0004245,57.71,-4.41,L
0004246,56.74,-3.92,L
0004250,58.56,-2.42,
0004251,59.13,-2.16,l
0004252,58.14,-1.78,
0004253,58.7,-1.52,
0004254,58.42,-3.32,L
0004255,58.98,-3.07,l
0004256,58.0,-2.66,l
0004260,55.92,-2.58,L
0004261,56.47,-2.41,l
0004262,55.51,-1.9,L
0004263,56.06,-1.74,l
0004264,55.78,-3.41,L
0004265,56.33,-3.25,L
0004266,55.37,-2.73,L
0004300,61.04,0.82,
0004301,61.58,1.27,
0004302,60.61,1.4,
0004303,61.15,1.84,
0004304,60.93,-0.19,
0004305,61.47,0.22,
0004306,60.5,0.41,
0004314,62.12,1.76,
0004320,59.63,1.58,
0004321,60.17,1.97,
0004322,59.18,2.16,
0004323,59.73,2.54,
0004324,59.51,0.63,
0004325,60.06,1.0,
0004326,59.07,1.23,
0004334,60.72,2.4,
0004340,61.22,-1.81,
0004341,61.77,-1.42,
0004342,60.8,-1.19,l
0004343,61.35,-0.8,
0004344,61.08,-2.81,
0004345,61.64,-2.45,
0004346,60.67,-2.17,
0004350,62.44,0.08,
0004351,62.97,0.59,
0004352,62.01,0.68,
0004353,62.55,1.18,
0004354,62.32,-0.99,
0004355,62.86,-0.53,
0004356,61.9,-0.38,
0004360,59.82,-0.92,l
0004361,60.37,-0.57,l
0004362,59.39,-0.31,
0004363,59.94,0.03,
0004364,59.69,-1.86,
0004365,60.24,-1.54,l
0004366,59.26,-1.24,
0004400,58.75,-12.28,
0004401,59.33,-12.16,
0004402,58.38,-11.53,
0004403,58.96,-11.41,
0004404,58.54,-13.13,
0004405,59.12,-13.03,
0004406,58.18,-12.38,
0004410,60.1,-11.13,
0004412,59.73,-10.38,
0004413,60.3,-10.21,
0004414,59.9,-12.03,
0004416,59.53,-11.28,
0004420,57.44,-10.91,
0004421,58.01,-10.8,
0004422,57.07,-10.19,
0004423,57.63,-10.08,
0004424,57.24,-11.74,
0004425,57.81,-11.64,
0004426,56.87,-11.01,
0004430,58.78,-9.81,
0004431,59.35,-9.65,
0004432,58.39,-9.09,
0004433,58.96,-8.93,
0004434,58.58,-10.68,
0004435,59.16,-10.54,
0004436,58.21,-9.95,
0004440,58.68,-14.75,
0004441,59.25,-14.67,
0004442,58.33,-13.98,
0004443,58.9,-13.9,
0004446,58.1,-14.81,
0004450,60.05,-13.69,
0004452,59.69,-12.92,
0004453,60.27,-12.79,
0004456,59.48,-13.8,
0004460,57.4,-13.3,
0004461,57.97,-13.22,
0004462,57.04,-12.56,
0004463,57.61,-12.48,
0004464,57.18,-14.12,
0004465,57.75,-14.05,
0004466,56.82,-13.37,
0004600,56.1,-7.25,
0004601,56.66,-7.12,l
0004602,55.71,-6.55,l
0004603,56.27,-6.43,l
0004604,55.92,-8.06,
0004605,56.49,-7.95,
0004606,55.54,-7.36,
0004610,57.39,-6.13,l
0004611,57.96,-5.95,l
0004612,56.99,-5.44,L
0004613,57.55,-5.27,L
0004614,57.22,-6.98,l
0004615,57.79,-6.82,l
0004616,56.83,-6.29,l
0004620,54.76,-5.97,L
0004621,55.32,-5.86,l
0004622,54.38,-5.28,l
0004623,54.92,-5.17,l
0004624,54.6,-6.77,L
0004625,55.15,-6.67,L
0004626,54.21,-6.07,L
0004630,56.03,-4.91,L
